time,student_id,dark_duration_min
2013-03-24 09:47:00,1,478.0
2013-03-24 10:18:43,1,478.0
2013-03-24 10:30:03,1,478.0
2013-03-24 10:48:22,1,478.0
2013-03-27 04:38:32,1,478.0
2013-03-27 04:45:45,1,478.0
2013-03-27 15:12:33,1,62.0
2013-03-27 16:49:15,1,252.0
2013-03-27 22:39:40,1,137.0
2013-03-28 00:57:12,1,179.0
2013-03-28 18:38:25,1,74.0
2013-03-28 19:53:16,1,68.0
2013-03-28 21:02:18,1,141.0
2013-03-28 23:53:09,1,130.0
2013-03-29 00:09:33,1,130.0
2013-03-29 02:21:30,1,111.0
2013-03-29 04:25:52,1,494.0
2013-03-29 12:42:26,1,68.0
2013-03-29 18:09:17,1,142.0
2013-03-29 19:45:25,1,174.0
2013-03-30 00:32:58,1,174.0
2013-03-30 02:40:03,1,174.0
2013-03-30 05:48:51,1,582.0
2013-03-30 16:12:32,1,142.0
2013-03-30 19:17:46,1,105.0
2013-03-30 21:34:02,1,71.0
2013-03-30 22:27:26,1,71.0
2013-03-31 00:08:22,1,150.0
2013-03-31 16:12:41,1,393.0
2013-03-31 18:49:27,1,112.0
2013-03-31 22:48:48,1,112.0
2013-04-01 02:05:38,1,192.0
2013-04-01 02:45:54,1,192.0
2013-04-01 05:18:29,1,170.0
2013-04-01 08:09:12,1,486.0
2013-04-01 16:16:40,1,304.0
2013-04-01 22:05:35,1,160.0
2013-04-03 06:03:04,1,70.0
2013-04-03 12:41:57,1,70.0
2013-04-03 14:04:43,1,63.0
2013-04-03 16:51:02,1,101.0
2013-04-03 18:48:16,1,147.0
2013-04-03 22:17:16,1,222.0
2013-04-04 03:28:45,1,77.0
2013-04-04 07:28:35,1,185.0
2013-04-04 17:12:23,1,185.0
2013-04-04 20:24:34,1,138.0
2013-04-04 22:50:04,1,272.0
2013-04-05 06:08:42,1,68.0
2013-04-05 15:04:14,1,68.0
2013-04-05 16:59:53,1,133.0
2013-04-05 19:23:36,1,85.0
2013-04-05 21:36:58,1,83.0
2013-04-06 00:17:55,1,282.0
2013-04-06 01:26:41,1,113.0
2013-04-06 09:39:30,1,113.0
2013-04-06 20:09:53,1,113.0
2013-04-06 22:07:29,1,345.0
2013-04-07 19:34:55,1,414.0
2013-04-07 21:21:54,1,231.0
2013-04-08 02:30:18,1,231.0
2013-04-08 07:39:45,1,446.0
2013-04-08 15:27:29,1,61.0
2013-04-08 16:57:30,1,179.0
2013-04-08 22:45:53,1,124.0
2013-04-09 01:30:50,1,79.0
2013-04-09 04:50:01,1,95.0
2013-04-09 17:38:50,1,95.0
2013-04-09 19:26:20,1,212.0
2013-04-09 23:02:24,1,148.0
2013-04-10 01:36:07,1,315.0
2013-04-10 02:59:22,1,370.0
2013-04-10 06:54:32,1,370.0
2013-04-10 14:03:33,1,108.0
2013-04-10 16:26:03,1,127.0
2013-04-10 18:38:12,1,204.0
2013-04-10 22:03:42,1,148.0
2013-04-10 22:33:15,1,148.0
2013-04-11 00:32:07,1,65.0
2013-04-11 01:37:28,1,244.0
2013-04-11 02:03:16,1,244.0
2013-04-11 05:42:22,1,568.0
2013-04-11 15:11:27,1,361.0
2013-04-11 21:13:02,1,74.0
2013-04-11 22:27:59,1,353.0
2013-04-12 02:44:19,1,492.0
2013-04-12 05:40:44,1,492.0
2013-04-12 16:40:12,1,175.0
2013-04-12 19:36:00,1,347.0
2013-04-13 18:14:12,1,99.0
2013-04-13 19:54:08,1,322.0
2013-04-13 22:54:36,1,544.0
2013-04-14 21:50:41,1,544.0
2013-04-14 23:14:15,1,115.0
2013-04-15 21:10:29,1,115.0
2013-04-16 01:52:24,1,71.0
2013-04-16 04:24:02,1,71.0
2013-04-16 22:31:43,1,71.0
2013-04-17 04:01:47,1,69.0
2013-04-17 15:11:47,1,69.0
2013-04-17 19:10:48,1,101.0
2013-04-17 20:52:04,1,182.0
2013-04-18 01:48:22,1,232.0
2013-04-18 18:00:38,1,150.0
2013-04-18 21:48:00,1,80.0
2013-04-18 23:53:27,1,174.0
2013-04-19 00:32:42,1,174.0
2013-04-19 14:04:47,1,61.0
2013-04-19 15:12:52,1,67.0
2013-04-19 17:10:46,1,155.0
2013-04-19 19:51:58,1,66.0
2013-04-19 22:04:28,1,141.0
2013-04-20 00:25:56,1,138.0
2013-04-20 06:44:52,1,312.0
2013-04-20 22:00:26,1,312.0
2013-04-21 03:13:17,1,584.0
2013-04-21 13:02:38,1,191.0
2013-04-21 16:34:59,1,188.0
2013-04-21 19:51:49,1,64.0
2013-04-21 22:00:30,1,80.0
2013-04-21 23:21:41,1,64.0
2013-04-22 00:26:30,1,142.0
2013-04-22 02:55:20,1,152.0
2013-04-22 05:28:15,1,488.0
2013-04-22 13:58:40,1,67.0
2013-04-22 15:12:45,1,69.0
2013-04-22 16:58:05,1,239.0
2013-04-22 21:02:43,1,116.0
2013-04-22 23:08:50,1,62.0
2013-04-23 01:24:53,1,108.0
2013-04-23 16:45:20,1,92.0
2013-04-23 19:20:47,1,133.0
2013-04-23 21:34:18,1,67.0
2013-04-23 22:46:20,1,88.0
2013-04-24 06:22:36,1,575.0
2013-04-24 16:04:25,1,162.0
2013-04-24 21:29:35,1,61.0
2013-04-24 22:46:55,1,346.0
2013-04-25 05:18:37,1,74.0
2013-04-25 06:33:22,1,595.0
2013-04-25 16:44:43,1,134.0
2013-04-25 18:58:50,1,97.0
2013-04-25 23:01:52,1,433.0
