time,student_id,venue_id,meal_type
2013-01-06 17:42:49,1,5.0,Supper
2013-01-07 09:32:57,1,4.0,Breakfast
2013-01-07 14:16:07,1,2.0,Lunch
2013-01-08 12:51:22,1,2.0,Lunch
2013-01-09 13:46:44,1,1.0,Lunch
2013-01-09 18:33:18,1,7.0,Supper
2013-01-10 17:57:07,1,5.0,Supper
2013-01-11 10:39:39,1,1.0,Snack
2013-01-11 14:01:56,1,2.0,Lunch
2013-01-15 11:58:29,1,2.0,Snack
2013-01-15 13:07:26,1,2.0,Lunch
2013-01-15 19:10:11,1,5.0,Supper
2013-01-16 11:04:00,1,2.0,Lunch
2013-01-16 13:38:13,1,1.0,Snack
2013-01-17 12:10:04,1,2.0,Lunch
2013-01-18 08:51:10,1,1.0,Breakfast
2013-01-18 12:08:09,1,2.0,Lunch
2013-01-19 14:04:51,1,2.0,Lunch
2013-01-21 11:57:26,1,2.0,Lunch
2013-01-21 14:03:13,1,2.0,Snack
2013-01-22 11:53:25,1,2.0,Snack
2013-01-22 13:18:12,1,7.0,Lunch
2013-01-23 13:45:02,1,7.0,Lunch
2013-01-24 12:35:23,1,4.0,Lunch
2013-01-24 14:21:06,1,3.0,Snack
2013-01-24 15:05:32,1,2.0,Lunch
2013-01-24 18:29:34,1,5.0,Supper
2013-01-25 08:54:45,1,1.0,Breakfast
2013-01-25 17:06:55,1,2.0,Supper
2013-01-26 11:08:23,1,2.0,Lunch
2013-01-26 23:45:30,1,2.0,Supper
2013-01-27 11:00:55,1,2.0,Lunch
2013-01-27 15:20:20,1,2.0,Snack
2013-01-28 11:10:42,1,2.0,Lunch
2013-01-28 13:34:18,1,1.0,Lunch
2013-01-29 12:45:31,1,5.0,Lunch
2013-01-30 12:04:02,1,2.0,Lunch
2013-01-30 19:43:46,1,5.0,Supper
2013-01-31 16:57:02,1,2.0,Supper
2013-01-31 17:31:16,1,2.0,Supper
2013-02-01 11:02:49,1,2.0,Lunch
2013-02-01 17:54:47,1,2.0,Supper
2013-02-01 20:05:36,1,2.0,Supper
2013-02-04 14:14:56,1,1.0,Lunch
2013-02-04 18:35:09,1,5.0,Supper
2013-02-05 08:48:37,1,1.0,Snack
2013-02-05 18:21:40,1,5.0,Supper
2013-02-06 09:29:27,1,1.0,Breakfast
2013-02-06 12:07:15,1,2.0,Snack
2013-02-07 14:17:40,1,1.0,Snack
2013-02-07 15:42:56,1,2.0,Snack
2013-02-07 17:14:22,1,2.0,Snack
2013-02-08 09:59:22,1,7.0,Breakfast
2013-02-08 13:37:34,1,2.0,Lunch
2013-02-10 17:49:14,1,2.0,Snack
2013-02-10 19:24:45,1,2.0,Supper
2013-02-11 11:05:34,1,2.0,Lunch
2013-02-11 13:49:21,1,2.0,Lunch
2013-02-12 09:58:10,1,1.0,Breakfast
2013-02-12 13:13:13,1,5.0,Lunch
2013-02-12 18:40:05,1,2.0,Supper
2013-02-13 11:11:00,1,2.0,Snack
2013-02-13 12:04:12,1,5.0,Lunch
2013-02-14 18:32:46,1,2.0,Supper
2013-02-15 11:10:41,1,2.0,Snack
