time,student_id,phonelock_duration_min
2013-03-24 09:47:00,1,465.0
2013-03-24 10:18:43,1,465.0
2013-03-24 10:30:03,1,465.0
2013-03-24 10:48:22,1,465.0
2013-03-27 04:39:21,1,465.0
2013-03-27 04:45:45,1,465.0
2013-03-27 14:39:45,1,126.0
2013-03-27 16:46:46,1,110.0
2013-03-27 23:31:02,1,86.0
2013-03-28 17:48:21,1,71.0
2013-03-28 19:53:16,1,68.0
2013-03-28 21:02:16,1,132.0
2013-03-28 23:53:09,1,102.0
2013-03-29 00:37:24,1,102.0
2013-03-29 02:21:29,1,72.0
2013-03-29 04:26:22,1,485.0
2013-03-29 16:30:34,1,240.0
2013-03-29 19:45:25,1,148.0
2013-03-29 21:24:06,1,148.0
2013-03-29 23:53:12,1,116.0
2013-03-30 00:32:58,1,116.0
2013-03-30 02:32:27,1,111.0
2013-03-30 04:23:53,1,85.0
2013-03-30 05:49:25,1,581.0
2013-03-30 15:31:30,1,175.0
2013-03-30 18:45:46,1,239.0
2013-03-30 22:27:26,1,225.0
2013-03-30 22:53:41,1,225.0
2013-03-31 04:19:54,1,594.0
2013-03-31 16:13:24,1,71.0
2013-03-31 17:25:31,1,319.0
2013-03-31 18:49:27,1,557.0
2013-03-31 22:51:28,1,557.0
2013-04-01 02:45:54,1,436.0
2013-04-01 08:09:48,1,436.0
2013-04-01 16:16:38,1,67.0
2013-04-01 17:24:39,1,468.0
2013-04-02 16:50:34,1,552.0
2013-04-03 02:03:34,1,239.0
2013-04-03 06:03:04,1,361.0
2013-04-03 06:31:36,1,361.0
2013-04-03 12:33:17,1,79.0
2013-04-03 14:04:38,1,81.0
2013-04-03 16:14:30,1,150.0
2013-04-03 18:45:07,1,495.0
2013-04-04 03:28:50,1,77.0
2013-04-04 07:28:35,1,434.0
2013-04-04 16:53:46,1,434.0
2013-04-05 00:08:44,1,119.0
2013-04-05 02:11:31,1,70.0
2013-04-05 03:22:14,1,100.0
2013-04-05 05:03:31,1,584.0
