time,student_id,conv_duration_min
2013-03-24 09:47:00,1,6.0
2013-03-24 10:18:43,1,6.0
2013-03-24 10:30:03,1,6.0
2013-03-24 10:48:22,1,6.0
2013-03-27 04:30:43,1,6.0
2013-03-27 04:45:45,1,6.0
2013-03-27 12:46:14,1,50.0
2013-03-27 13:40:30,1,11.0
2013-03-27 14:07:28,1,4.0
2013-03-27 14:15:20,1,32.0
2013-03-27 14:56:19,1,11.0
2013-03-27 15:15:46,1,2.0
2013-03-27 15:29:29,1,47.0
2013-03-27 16:20:24,1,1.0
2013-03-27 16:29:35,1,15.0
2013-03-27 16:52:45,1,1.0
2013-03-27 21:22:05,1,19.0
2013-03-28 00:06:05,1,41.0
2013-03-28 00:51:16,1,6.0
2013-03-28 01:57:08,1,36.0
2013-03-28 02:34:37,1,2.0
2013-03-28 02:40:09,1,18.0
2013-03-28 03:03:20,1,54.0
2013-03-28 04:13:49,1,1.0
2013-03-28 04:19:31,1,1.0
2013-03-28 04:36:13,1,6.0
2013-03-28 05:02:19,1,7.0
2013-03-28 05:41:28,1,5.0
2013-03-28 17:23:24,1,1.0
2013-03-28 17:28:36,1,2.0
2013-03-28 17:38:48,1,1.0
2013-03-28 17:43:19,1,4.0
2013-03-28 17:48:32,1,4.0
2013-03-28 18:01:56,1,6.0
2013-03-28 18:12:20,1,14.0
2013-03-28 18:31:58,1,6.0
2013-03-28 18:42:32,1,4.0
2013-03-28 18:50:25,1,14.0
2013-03-28 19:05:32,1,2.0
2013-03-28 19:11:34,1,1.0
2013-03-28 19:12:55,1,1.0
2013-03-28 19:18:26,1,2.0
2013-03-28 19:28:38,1,4.0
2013-03-28 19:41:02,1,11.0
2013-03-28 19:56:38,1,28.0
2013-03-28 20:28:55,1,17.0
2013-03-28 20:46:44,1,8.0
2013-03-28 21:07:00,1,1.0
2013-03-28 21:09:01,1,0.0
2013-03-28 21:13:52,1,10.0
2013-03-28 22:07:55,1,3.0
2013-03-28 22:14:47,1,3.0
2013-03-28 23:14:36,1,9.0
2013-03-28 23:28:12,1,27.0
2013-03-28 23:53:09,1,15.0
2013-03-28 23:59:16,1,15.0
2013-03-29 00:18:55,1,61.0
2013-03-29 01:24:18,1,12.0
2013-03-29 01:40:55,1,12.0
2013-03-29 01:56:52,1,2.0
2013-03-29 02:04:24,1,1.0
2013-03-29 02:22:07,1,3.0
2013-03-29 02:34:21,1,3.0
2013-03-29 02:42:03,1,3.0
2013-03-29 02:49:16,1,9.0
2013-03-29 03:02:01,1,1.0
2013-03-29 03:38:57,1,7.0
2013-03-29 03:47:21,1,3.0
2013-03-29 03:55:04,1,7.0
2013-03-29 04:03:08,1,5.0
2013-03-29 04:12:01,1,13.0
2013-03-29 05:21:36,1,1.0
2013-03-29 12:35:56,1,1.0
2013-03-29 12:49:39,1,21.0
2013-03-29 13:19:01,1,18.0
2013-03-29 13:41:51,1,10.0
2013-03-29 14:03:37,1,65.0
2013-03-29 15:20:42,1,61.0
2013-03-29 16:26:05,1,2.0
2013-03-29 16:35:47,1,5.0
2013-03-29 17:05:04,1,6.0
2013-03-29 17:23:49,1,7.0
2013-03-29 17:31:23,1,2.0
2013-03-29 17:45:56,1,12.0
2013-03-29 18:06:03,1,4.0
2013-03-29 18:14:06,1,4.0
2013-03-29 18:22:29,1,1.0
2013-03-29 18:36:21,1,74.0
2013-03-29 19:45:25,1,9.0
2013-03-29 19:54:02,1,9.0
2013-03-29 20:07:27,1,2.0
2013-03-29 20:13:59,1,1.0
2013-03-29 20:58:56,1,11.0
2013-03-29 21:15:02,1,9.0
2013-03-29 21:28:08,1,18.0
2013-03-29 21:50:07,1,12.0
2013-03-29 22:06:14,1,6.0
2013-03-29 22:17:07,1,13.0
2013-03-29 22:54:18,1,28.0
2013-03-29 23:26:03,1,3.0
2013-03-29 23:33:45,1,9.0
2013-03-29 23:51:11,1,51.0
2013-03-30 00:32:58,1,39.0
2013-03-30 00:46:18,1,39.0
2013-03-30 01:25:47,1,32.0
2013-03-30 02:01:24,1,12.0
2013-03-30 02:33:43,1,1.0
2013-03-30 02:38:34,1,1.0
2013-03-30 03:15:50,1,3.0
2013-03-30 04:07:29,1,16.0
2013-03-30 04:35:49,1,2.0
2013-03-30 05:33:59,1,1.0
2013-03-30 05:47:41,1,1.0
2013-03-30 15:38:11,1,26.0
2013-03-30 16:08:27,1,2.0
2013-03-30 16:14:18,1,6.0
2013-03-30 16:24:22,1,37.0
2013-03-30 17:05:33,1,26.0
2013-03-30 17:32:34,1,23.0
2013-03-30 17:59:26,1,29.0
2013-03-30 18:33:02,1,1.0
2013-03-30 18:38:33,1,8.0
2013-03-30 19:14:31,1,123.0
2013-03-30 21:25:34,1,15.0
2013-03-30 21:44:53,1,1.0
2013-03-30 21:50:34,1,10.0
2013-03-30 22:04:40,1,2.0
2013-03-30 22:27:26,1,2.0
2013-03-31 00:10:49,1,15.0
2013-03-31 00:29:58,1,13.0
2013-03-31 00:46:45,1,5.0
2013-03-31 02:40:15,1,12.0
2013-03-31 02:56:11,1,55.0
2013-03-31 03:55:09,1,21.0
2013-03-31 04:21:21,1,2.0
2013-03-31 04:31:23,1,3.0
2013-03-31 04:46:17,1,1.0
2013-03-31 04:51:38,1,12.0
2013-03-31 05:08:15,1,1.0
2013-03-31 05:09:46,1,1.0
2013-03-31 05:14:17,1,4.0
2013-03-31 05:26:40,1,1.0
2013-03-31 05:44:23,1,6.0
2013-03-31 16:44:21,1,8.0
2013-03-31 16:56:06,1,19.0
2013-03-31 17:20:17,1,5.0
2013-03-31 17:33:30,1,1.0
2013-03-31 17:39:12,1,2.0
2013-03-31 18:09:27,1,43.0
2013-03-31 18:49:27,1,29.0
2013-03-31 19:28:36,1,29.0
2013-03-31 19:58:52,1,9.0
2013-03-31 20:08:47,1,6.0
2013-03-31 20:18:30,1,3.0
2013-03-31 20:25:53,1,60.0
2013-03-31 21:34:35,1,11.0
2013-03-31 21:49:52,1,2.0
2013-03-31 22:03:25,1,5.0
2013-03-31 22:20:59,1,11.0
2013-03-31 22:36:56,1,3.0
2013-03-31 22:43:58,1,1.0
2013-03-31 22:52:50,1,1.0
2013-03-31 23:09:33,1,1.0
2013-03-31 23:14:34,1,3.0
2013-03-31 23:41:59,1,1.0
2013-04-01 00:00:02,1,1.0
2013-04-01 00:13:45,1,4.0
2013-04-01 00:22:58,1,1.0
2013-04-01 00:44:41,1,18.0
2013-04-01 01:07:32,1,16.0
2013-04-01 01:27:51,1,2.0
2013-04-01 01:46:15,1,3.0
2013-04-01 02:09:49,1,6.0
2013-04-01 02:19:43,1,1.0
2013-04-01 02:21:34,1,6.0
2013-04-01 02:44:10,1,14.0
2013-04-01 02:45:54,1,14.0
2013-04-01 02:59:17,1,2.0
2013-04-01 03:06:20,1,6.0
2013-04-01 03:13:13,1,9.0
2013-04-01 03:30:49,1,1.0
2013-04-01 03:44:52,1,10.0
2013-04-01 03:59:08,1,22.0
2013-04-01 04:25:00,1,6.0
2013-04-01 04:38:54,1,17.0
2013-04-01 05:20:16,1,6.0
2013-04-01 05:29:59,1,14.0
2013-04-01 05:48:06,1,25.0
2013-04-01 06:16:59,1,51.0
2013-04-01 07:12:16,1,29.0
2013-04-01 07:45:01,1,11.0
2013-04-01 15:32:52,1,48.0
2013-04-01 16:30:28,1,2.0
2013-04-01 16:41:21,1,16.0
2013-04-01 17:22:03,1,6.0
2013-04-01 17:35:47,1,9.0
2013-04-01 17:57:14,1,10.0
2013-04-01 18:11:19,1,14.0
2013-04-01 18:30:17,1,8.0
2013-04-01 18:43:12,1,3.0
2013-04-01 18:50:14,1,2.0
2013-04-01 19:00:07,1,2.0
2013-04-01 19:06:28,1,15.0
2013-04-01 20:05:13,1,1.0
2013-04-01 20:14:05,1,8.0
2013-04-01 20:34:11,1,1.0
2013-04-01 22:31:39,1,13.0
2013-04-01 22:53:57,1,8.0
2013-04-01 23:02:51,1,1.0
2013-04-01 23:12:23,1,23.0
2013-04-01 23:35:56,1,1.0
2013-04-01 23:37:17,1,68.0
2013-04-02 01:13:25,1,1.0
2013-04-02 01:27:38,1,6.0
2013-04-02 02:23:08,1,1.0
2013-04-02 02:29:20,1,7.0
2013-04-02 02:36:34,1,4.0
2013-04-02 02:45:16,1,20.0
2013-04-02 03:09:27,1,8.0
2013-04-02 03:22:42,1,1.0
2013-04-02 03:24:23,1,7.0
2013-04-02 03:35:27,1,3.0
2013-04-02 03:43:50,1,5.0
2013-04-02 03:57:34,1,2.0
2013-04-02 04:04:36,1,4.0
2013-04-02 04:13:39,1,15.0
2013-04-02 04:33:38,1,4.0
2013-04-02 04:42:51,1,1.0
2013-04-02 04:48:22,1,9.0
2013-04-02 16:02:18,1,1.0
2013-04-02 16:15:30,1,0.0
2013-04-02 16:52:17,1,1.0
2013-04-02 17:02:39,1,26.0
2013-04-02 17:36:13,1,10.0
2013-04-02 17:50:29,1,8.0
2013-04-02 18:38:59,1,2.0
2013-04-02 19:01:33,1,4.0
2013-04-02 19:29:29,1,6.0
2013-04-02 19:47:43,1,10.0
2013-04-02 20:06:50,1,2.0
2013-04-02 20:24:54,1,0.0
2013-04-02 20:41:47,1,8.0
2013-04-02 21:10:04,1,1.0
2013-04-02 22:46:49,1,2.0
2013-04-02 23:45:18,1,1.0
2013-04-02 23:50:09,1,3.0
2013-04-02 23:58:02,1,1.0
2013-04-03 00:03:03,1,25.0
2013-04-03 00:37:18,1,3.0
2013-04-03 00:55:51,1,2.0
2013-04-03 01:01:53,1,12.0
2013-04-03 01:17:50,1,13.0
2013-04-03 02:11:23,1,6.0
2013-04-03 02:21:36,1,2.0
2013-04-03 02:36:09,1,2.0
2013-04-03 02:46:22,1,2.0
2013-04-03 03:52:34,1,1.0
2013-04-03 03:57:35,1,5.0
2013-04-03 05:38:42,1,1.0
2013-04-03 05:55:15,1,2.0
2013-04-03 06:03:04,1,2.0
2013-04-03 12:46:21,1,66.0
2013-04-03 14:07:57,1,36.0
2013-04-03 14:49:06,1,18.0
2013-04-03 15:16:16,1,3.0
2013-04-03 15:27:09,1,169.0
2013-04-03 18:20:04,1,11.0
2013-04-03 19:00:45,1,63.0
2013-04-03 20:07:17,1,61.0
2013-04-03 21:13:19,1,13.0
2013-04-03 21:34:48,1,13.0
2013-04-03 22:20:41,1,23.0
2013-04-03 22:44:25,1,29.0
2013-04-03 23:17:36,1,56.0
2013-04-04 00:17:27,1,10.0
2013-04-04 00:31:43,1,40.0
2013-04-04 01:15:34,1,46.0
2013-04-04 02:09:29,1,19.0
2013-04-04 02:32:40,1,23.0
2013-04-04 02:59:42,1,56.0
2013-04-04 03:59:34,1,19.0
2013-04-04 04:22:55,1,23.0
2013-04-04 04:49:38,1,1.0
2013-04-04 05:07:01,1,6.0
2013-04-04 05:24:46,1,51.0
2013-04-04 06:19:57,1,1.0
2013-04-04 06:25:49,1,3.0
2013-04-04 06:41:12,1,8.0
2013-04-04 06:49:56,1,1.0
2013-04-04 07:06:59,1,4.0
2013-04-04 07:15:12,1,1.0
2013-04-04 07:28:35,1,1.0
2013-04-04 15:40:46,1,2.0
2013-04-04 15:46:48,1,3.0
2013-04-04 15:57:50,1,5.0
2013-04-04 16:07:54,1,46.0
2013-04-04 17:06:39,1,16.0
2013-04-04 17:28:09,1,7.0
2013-04-04 17:42:44,1,27.0
2013-04-04 18:10:58,1,12.0
2013-04-04 18:31:45,1,3.0
2013-04-04 18:38:47,1,4.0
2013-04-04 18:56:12,1,3.0
2013-04-04 19:03:14,1,9.0
2013-04-04 19:13:09,1,9.0
2013-04-04 19:31:06,1,16.0
2013-04-04 19:54:59,1,3.0
2013-04-04 20:06:12,1,10.0
2013-04-04 20:16:27,1,1.0
2013-04-04 20:30:00,1,46.0
2013-04-04 21:20:04,1,17.0
2013-04-04 21:42:43,1,30.0
2013-04-04 22:24:10,1,1.0
2013-04-04 22:29:21,1,6.0
2013-04-04 22:43:15,1,7.0
2013-04-04 22:54:20,1,41.0
2013-04-04 23:43:22,1,47.0
2013-04-05 00:30:45,1,20.0
2013-04-05 00:55:17,1,40.0
2013-04-05 01:39:17,1,66.0
2013-04-05 02:54:28,1,2.0
2013-04-05 03:32:25,1,10.0
2013-04-05 04:02:24,1,8.0
2013-04-05 04:10:58,1,2.0
2013-04-05 04:16:30,1,8.0
2013-04-05 04:25:04,1,2.0
2013-04-05 04:35:37,1,14.0
